Subject Code*,Title*,Course Description*,Credit Hours*,Class Notes*,Registration Restrictions*,Degree Plans*,Skills Learned*,,,,,
CSCI-7000-2257-010*,[Deep Reinfrcmnt Lrng-Rbtics]*,None*,3*,"(FA25): This class will have its last meeting day on Friday, Dec. 5, 2025.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Depth; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE, Elective; NOTE - this course later renumbered to CSCI 5932, no longer offered as a Special Topics course. ; AINT-MSAI: Depth*",Not Available*,,,,,
ROBO-7000-2257-010*,Deep Reinfrcmnt Lrng-Rbtics*,None*,3*,"This class will have its last meeting day on Friday, Dec. 5, 2025.*",Restricted to graduate students in the College of Engineering*,"CSEN-PhD: Bin 2, Depth; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective. Because this course meets with an equivalent section of CSCI 7000, this course does not count against the non-CS course limit. Course equivalent to CSCI 5932 and ROBO 5329 ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5202*,Introduction to Robotics*,"Provides a broad introduction to principles and skills related to the field of robotics and is intended to create a strong robotics-focused foundation for students with a wide range of technical backgrounds. Topics include software development, path planning algorithms, kinematics, dynamics & controls and perception. Through these topics, students will develop skills that enable them to implement algorithms that encompass the entire robot operational loop of sensing, thinking, and acting. Prior programming experience is recommended. Equivalent - Duplicate Degree Credit Not Granted: ROBO 5000 and MCEN 5301 *",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. This class will have its last meeting day on Friday, April 24, 2026.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Depth; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective. NOTE - since CSCI 5202 and ROBO 5000 are cross-listed, ROBO 5000 does not count against non-CS course limit. However, ROBO 5000 is limited to Robotics graduate students. ; AINT-MSAI: Depth*",Not Available*,,,,,
CSCI-5942*,"AI Engineering: Building, Scaling, and Deploying Large-Scale Models*","Engineers and analyzes the trade-offs in large-scale AI systems. This course connects model architecture design with the practical, distributed systems required to train and serve them. Covers the full engineering lifecycle, including data curation, distributed training, inference optimization, and scaling large language models. *",3*,"(FA26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Student may be dropped from course for non-attendance.*","CSCI 5622 Machine Learning or its equivalent, Corequisite: CSCI 5922 Neural Nets and Deep Learning. Recommended prerequisite: strong programming proficiency in Python, experience with a modern ML framework (eg, PyTorch), and proficiency with git and command-line environments.*","CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Core*",Not Available*,,,,,
ROBO-5000*,Introduction to Robotics*,"Provides a broad introduction to principles and skills related to the field of robotics and is intended to create a strong robotics-focused foundation for students with a wide range of technical backgrounds. Topics include software development, path planning algorithms, kinematics, dynamics & controls and perception. Through these topics, students will develop skills that enable them to implement algorithms that encompass the entire robot operational loop of sensing, thinking, and acting. Prior programming experience is recommended. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5202 and MCEN 5301 *",3*,"(FA26) This class will have its last meeting day on Friday, Dec. 4, 2026.*","Restricted to graduate students in the College of Engineering. Recommended: Robot operational loop of sensing, thinking, and acting. Prior programming experience is recommended*","CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective. NOTE - since CSCI 5202 and ROBO 5000 are cross-listed, ROBO 5000 does not count against non-CS course limit. However, ROBO 5000 is limited to Robotics graduate students. ; AINT-MSAI: Depth*",Not Available*,,,,,
ROBO-5302*,Advanced Robotics*,Exposes students to current research topics in the field of robotics and provides hands-on experience in solving a grand challenge program. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4302 and CSCI 5302 and MCEN 5302 *,3*,"(SP26) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. This class will have its last meeting day on Friday, April 24, 2026.*",Restricted to graduate students only. Prerequisite of CSCI 5202 or ROBO 5000 or ((ASEN 5254 and (ASEN 5014 or 5044 or MCEN 5448 or ECEN 5448)). Recommended: Prerequisite CSCI 3302 or instructor consent required.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, AIG Subplan, RBT Subplan; NTEN-MSNE: Elective. NOTE - since CSCI 5302 and ROBO 5302 are cross-listed, ROBO 5302 does not count against non-CS course limit. However, ROBO 5302 is limited to Robotics graduate students. ; AINT-MSAI: Depth*",Not Available*,,,,,
CSCI-5402*,Research Methods in Human-Computer Interaction (HCI)*," Introduces students to the field of human-robot interaction (HRI). Covers HRI theory, principles, methodologies, and applications with links to robotics, artificial intelligence, human factors, human-computer interaction, design, cognitive psychology, education and other domains. Coursework includes readings from state-of-the-art in HRI research, team exercises and problem-solving sessions, and implementation and evaluation of a human-robot interaction systems for specific applications. Equivalent - Duplicate Degree Credit Not Granted: ATLS 5402 *",3*,None available (FA24-FA26)*,Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, HCC Subplan; NTEN-MSNE: Elective. NOTE - this course is cross-listed with ATLS 5402, so ATLS 5402 does not count against non-CS course limit, but the ATLS course  may have additional restrictions. ; AINT-MSAI: Elective*",Not Available*,,,,,
ATLS-5402*,Research Methods in Human-Robo Interaction*,"Introduces students to the field of human-robot interaction (HRI). Covers HRI theory, principles, methodologies, and applications with links to robotics, artificial intelligence, human factors, human-computer interaction, design, cognitive psychology, education and other domains. Coursework includes readings from state-of-the-art in HRI research, team exercises and problem-solving sessions, and implementation and evaluation of a human-robot interaction systems for specific applications. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5402*",3*,None available (FA24-FA26)*,Requisites: Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, HCC Subplan; NTEN-MSNE: Elective. NOTE - this course is cross-listed with ATLS 5402, so ATLS 5402 does not count against non-CS course limit, but the ATLS course may have additional restrictions. ; AINT-MSAI: Elective*",Not Available*,,,,,
ATLS-5616*,Introduction to Mixed Reality (formerly Introduction to Virtual Reality)*,"This course introduces the rapidly evolving field of mixed reality (MR), including augmented (AR) and virtual reality (VR). Students gain foundational knowledge and hands-on experience through readings, discussions, and MR application development. Topics include MR frameworks, tangible interaction, sensing, gestural input, spatial collaboration, and AI for MR, with applications in education, healthcare, robotics, and more. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4616 and ATLS 4616 and CSCI 5616*",3*,(FA26) None*,None*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, HCC Subplan; NTEN-MSNE: Elective. NOTE - this course is cross-listed with ATLS 5616, so ATLS 5616 does not count against non-CS course limit. ATLS course may have additional restrictions. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5616*,Introduction to Mixed Reality (formerly Introduction to Virtual Reality)*,"This course introduces the rapidly evolving field of mixed reality (MR), including augmented (AR) and virtual reality (VR). Students gain foundational knowledge and hands-on experience through readings, discussions, and MR application development. Topics include MR frameworks, tangible interaction, sensing, gestural input, spatial collaboration, and AI for MR, with applications in education, healthcare, robotics, and more. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4616 and ATLS 4616 and ATLS 5616 *",3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only. Recommended prerequisite: CSCI 2270 or CSCI 2275 (minimum grade B).*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, HCC Subplan; NTEN-MSNE: Elective. NOTE - this course is cross-listed with ATLS 5616, so ATLS 5616 does not count against non-CS course limit. ATLS course may have additional restrictions. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-7000-2257-016*,[Intro to Mixed Reality]*,None*,3*,(FA25):The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*,Restricted to graduate students only.*,"CSEN-PhD: Bin 2, Elective; CSEN-MS: Bin 2, Elective; CSEN-MSCPS: Bin 2, Elective, HCC Subplan; NTEN-MSNE: Elective. NOTE - this course later renumbered to CSCI 5616, no longer offered as a Special Topics course. NOTE - this course is cross-listed with ATLS 5616, so ATLS 5616 does not count against non-CS course limit. ATLS course may have additional restrictions. ; AINT-MSAI: Elective*",Not Available*,,,,,
ECEN-5273*,Network Systems*,"Focuses on design and implementation of network programs and systems, including topics in network protocols, architectures, client-server computing, software-driven networking, and other contemporary network hardware-software system design and programming techniques. Familiarity with C and Unix is required. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5273 *",3*,"(FA26) If you need permission to enroll due to a course prerequisite or other enrollment error code, please fill out our ECEE Graduate-Level Course Request Form: https://forms.gle/UpFTXq2EDgCNA7X78 - This class will have its last meeting day on Friday, Dec. 4, 2026.*",Recommended: Familiarity with C and Unix is required.*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SEC Subplan, SSC Subplan; NTEN-MSNE: Elective.  NOTE - since CSCI 5273 and ECEN 5273 are cross-listed, ECEN 5273 does not count against non-CS course limit. However,ECEN 5273 is limited to ECEN graduate students. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5523*,Modern Offens and Defense in Cybersecurity*,"Introduce students to the modern techniques used in cyber-attacks and defenses. Topics covered: Stack canary, ASLR, SMEP/SMAP, CFI, Program Misusing, ROP, JOP, ret2lib, off-by-one, unsafe-unlink, UAF, ptmalloc, t-cache, Race condition, Kernel Exploitation.*",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance. This class will have its last meeting day on Friday, April 24, 2026.*","Restricted to graduate students only. Recommended: Prerequisites CSCI 2400, ECEN 4133.*","CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SEC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5525*,Compiler Construction*,"Introduces the principles and techniques for compiling high-level programming languages to assembly code. Topics include parsing, instruction selection, register allocation, and compiling high-level features such as polymorphism, first-class functions, and objects. Students build a complete compiler for a simple language.Equivalent - Duplicate Degree Credit Not Granted: CSCI 4555 and ECEN 4553 and ECEN 5523 *",3*,"(SP25) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date.*",Restricted to graduate students only. Recommended: Prerequisites CSCI 3155 and CSCI 2400 or ECEN 3350 (or ECEN 2360)*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5263*,Quantum Computer Architecture and Systems*,"Examine the architecture and system-level design of quantum computers. Learn programming, compilation, error correction, and noise mitigation through integrated lectures and labs using leading quantum SDKs. Apply these concepts in a research-based project to improve reliability and enhance the security of emerging quantum systems. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4263*",3*,"(FA26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-7000-2257-002*,[Quantum Comp. Architecture Sys]*,"Quantum computers have the potential to outperform current and future classical supercomputers. However, quantum hardware is noisy and prone to errors, making it unreliable for running quantum programs. Security is also critical: since quantum computers are accessed via cloud, there are concerns that untrusted providers could compromise users’ intellectual property. This course engages students in full-stack optimization across the quantum software stack—from the application layer and programming languages to compilers, quantum error correction, and error mitigation—providing them with the opportunity to research, develop, and apply advanced techniques that strengthen hardware reliability as well as program security and privacy. No prior background in quantum computing is required. The course combines lectures on fundamental principles and platform surveys, reading and discussing state-of-the-art research papers from top-tier conferences in computer architecture and quantum computing (ISCA, ASPLOS, HPCA, MICRO, and QCE), hands-on programming labs with Python and quantum SDKs, and a final project focused on quantum computer architecture and systems.*",3*,"(FA25): Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective. NOTE - this course later renumbered to CSCI 5263, no longer offered as a Special Topics course. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-7000-2247-015*,[Quantum Comp. Architecture Sys]*,"Quantum computers can solve many important problems that today's best classical supercomputers cannot handle. However, quantum hardware is prone to errors, making it unreliable for running quantum programs. Security is also a key concept as quantum computers are accessed via the cloud raising concerns about untrusted providers having access to the intellectual property of their users. This course aims to explore cutting-edge software techniques to improve quantum hardware reliability and to enhance program security and privacy. No prior quantum computing background is required. The course begins with basic quantum computing principles, covers various types of quantum computers, and includes hands-on programming of different types of quantum computers using Python and quantum Software Development Kits like Qiskit. Students will analyze and discuss state-of-the-art research papers from top-tier computer architecture and quantum computing conferences, including ISCA, ASPLOS, HPCA, MICRO, and QCE. Additionally, students can participate in Python or C/C++ software development to address key challenges of quantum computers.*",3*,(FA24): The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students.*,Restricted to graduate students only. *,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective. NOTE - this course later renumbered to CSCI 5263, no longer offered as a Special Topics course. ; AINT-MSAI: Elective*",Not Available*,,,,,
ECEN-5533*,Fundamental Concepts of Programming Languages*,"Introduces the principles and techniques for compiling high-level programming languages to assembly code. Topics include parsing, instruction selection, register allocation, and compiling high-level features such as polymorphism, first-class functions, and objects. Students build a complete compiler for a simple language. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4555 and ECEN 4553 and CSCI 5525 *",3*,"(FA26) If you need permission to enroll due to a course prerequisite or other enrollment error code, please fill out our ECEE Graduate-Level Course Request Form: https://forms.gle/UpFTXq2EDgCNA7X78*",Requires prerequisite course CSCI 3155 (minimum grade D-).*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective; NOTE - since CSCI 5535 and ECEN 5533 are cross-listed, ECEN 5533 does not count against non-CS course limit. However, ECEN 5533 is limited to ECEN graduate students. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5535*,Fundamental Concepts of Programming Languages*,Considers concepts common to a variety of programming languages--how they are described (both formally and informally) and how they are implemented. Provides a firm basis for comprehending new languages and gives insight into the relationship between languages and machines. Equivalent - Duplicate Degree Credit Not Granted: ECEN 5533 *,3*,"(FA26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Student may be dropped from course for non-attendance.*",Restricted to graduate students only. Recommended: Prerequisite CSCI 3155 or instructor consent required.*,"CSEN-PhD: Bin 3, Depth; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective; NOTE - since CSCI 5535 and ECEN 5533 are cross-listed, ECEN 5533 is limited to ECEN graduate students. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5403*,Introduction to Computing Security*," Introduces core concepts in cybersecurity including confidentiality, integrity, authentication, risk management, and adversarial thinking. The concepts will be applied to both traditional information technology (IT) systems and cyber physical systems (CPS). At the conclusion of the course, students should have a solid foundation in cybersecurity and hands-on experience. Students must have access to either native or virtual machines running on Windows OR Linux (Parrot, Kali, Ubuntu). Equivalent - Duplicate Degree Credit Not Granted: CYBR 5300 *",3*,"(FA26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. Student may be dropped from course for non-attendance.*","Restricted to graduate students only. Students must have access to either native or virtual machines running on Windows OR Linux (Parrot, Kali, Ubuntu). Recommended: Prerequisite This course requires programming ability, a number of computing courses, mathematical maturity, some familiarity with Unix operating systems (command-line experience, system administration OR Operating Systems OR Computer Architecture), and programming/scripting ability in a high-level language (basic programming). *","CSEN-PhD: Bin 3, Elective; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SEC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CYBR-5300*,Cybersecurity*,"Introduces core concepts in cybersecurity including confidentiality, integrity, authentication, risk management, and adversarial thinking. The concepts will be applied to both traditional information technology (IT) systems and cyber physical systems (CPS). The course provides a cyber security foundation that will allow practitioners in other fields apply to understand cyber security trade-offs and will also provide interested students with a basis further study in cyber security. At the conclusion of the course, students should have a solid foundation in cybersecurity and hands-on experience. Equivalent - Duplicate Degree Credit Not Granted: CSCI 5403 *",3*,(FA24) 001: None. 002: This class will be taught online and delivered asynchronously which means there are not scheduled days and times. Instructor may determine pacing and deadlines for coursework completion. See course syllabus for more information. This section contains recorded lectures from an in-person or remote section.*,"Restricted to graduate students only. Students must have access to either native or virtual machines running on Windows OR Linux (Parrot, Kali, Ubuntu).*","CSEN-PhD: Bin 3, Elective; CSEN-MS: Bin 3, Elective; CSEN-MSCPS: Bin 3, Elective, SEC Subplan; NTEN-MSNE: Elective; CYBR courses do not count against the non-CS course limit. ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-6930*,Professional Internship*,This class provides a structure for CS graduate students to receive academic credit for internships with industry partners that have an academic component to them suitable for graduate-level work. Participation in the program will consist of an internship agreement between a student and an industry partner who will employ the student in a role that supports the academic goals of the internship. Instructor participation will include facilitation of mid-term and final assessments of student performance as well as support for any academic-related issues that may arise during the internship period. May be taken during any term following initial enrollment and participation in CS graduate programs. Repeatable: Repeatable for up to 50.0 total credit hours.*,1-3*,"Department-controlled enrollment course, does not appear on Class Search*",Restricted to graduate students only.*,CSEN-PhD: Depth [3 hrs only]; CSEN-MS: Elective [3 hrs only]; CSEN-MSCPS: Elective [3 hrs only]; NTEN-MSNE: Elective [3 hrs only] ; AINT-MSAI: Not Applicable*,Not Available*,,,,,
ATLS-5519-2261-802*,[Brain-Body Music Interfaces]*,None*,1-3*,"Class location: ATLS 234, Brain Music Lab. Class time: Class meets on Wednesdays from 11:00 - 12:30 in Dr. Grace Leslie's lab, ATLS 234*",Restricted to graduate students only.,"CSEN-PhD: Depth [3 hrs] Professional Development [1-2hrs]; CSEN-MS: Elective [3 hrs] Professional Development [1-2hrs]; CSEN-MSCPS: Elective [3 hrs only], Not Applicable [1-2 hrs]; NTEN-MSNE: Elective [3 hrs], Not-Applicable [1-2 hrs] ; AINT-MSAI: Elective [3hr], Not Applicable [1-2hr]*",Not Available*,,,,,
CSCI-6454*,Advanced Algorithms*,"Topics include matching and network flows, matroids, computational geometry, parallel computation (PRAM, hypercube, mesh). Also includes Vlsi, database theory, distributed computation, cryptography, robotics, scheduling, probabilistic algorithms, approximation algorithms, average case, and amortized analysis, time permitting.*",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.*,"CSEN-PhD: Depth; CSEN-MS: Elective;  CSEN-MSCPS: Elective, HCC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-5423*,Biologically-Inspired Multi-Agent Systems*,"Explores the principles and emergent properties of collective dynamics through computational modeling and theory. Focuses on multi-agent systems using insights from biology, like the self-assemblage of cells and insect colony behavior. Topics include designing swarm intelligence, networked agents, cellular computing and self-assembly, optimization, synchronization, and evolutionary computation. Uses cross-discipline research developments to practice applied techniques. Biology background is not required.*",3*,"(SP26) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only. Recommended: Prerequisite CSCI 2270 and basic knowledge of programming.*,CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCP: Elective; NTEN-MSNE: Elective ; AINT-MSAI: Elective*,Not Available*,,,,,
CSCI-5135*,Computer-Aided Verification*,"Covers theoretical and practical aspects of verification of finite-state systems (hardware) and infinite-state systems (programs). Model checking: temporal logics, explicit-state and symbolic search, BDDs. Constraint solvers: SAT solvers, decision procedures. Program verification: invariants, partial vs. total correctness, abstraction. Department enforced requisite: general proficiency in discrete mathematics and programming. Equivalent - Duplicate Degree Credit Not Granted: ECEN 5139 *",3*,"(FA25) Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only. Recommended: Prerequisites ECEN 2703 and general proficiency in discrete mathematics and programming.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Bin 3, Elective, SSC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-7000-2267-015*,[Foundation Model and Alignment]*,"This research-based course covers the fundamentals of foundation models, which are pre-trained architectures trained on large (and potentially multi-modal) datasets using self-supervised methods such that the models can be efficiently fine-tuned for downstream tasks. We will cover variants of these models, including Large Language Models (LLMs), Vision-Language Models (VLMs), Large Reasoning Models (LRMs), and Vision-Language-Action models (VLAs). We will also cover topics in aligning these models to human values, including popular methods like reinforcement learning from human feedback and direct preference optimization. Students will be assigned research papers to read and present and they will propose an original research idea of their own by the end of the course.*",3*,"This class will have its last meeting day on Friday, Dec. 4, 2026. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students.*",Restricted to graduate students only.*,CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective (?); NTEN-MSNE: Elective ; AINT-MSAI: Elective*,Not Available*,,,,,
CSCI-5114*,Practical Algorithmic Complexity*,"When coming across an algorithmic problem, how do we think about how hard it is? Beyond just how much time or memory it takes, computational complexity offers a plethora of concepts for understanding this fundamental question. This leads to the appropriate choice of algorithm for the job, the development of new algorithms, and understanding the role of algorithmic complexity in natural settings such as biology and physics. Equivalent - Duplicate Degree Credit Not Granted: CSCI 4114 *",3*,"(FA25) This class will be taught synchronously as a remote section, which means classes will be held virtually during the days and times listed. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Student may be dropped from course for non-attendance.*",Restricted to graduate students only.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective, ANO Subplan; NTEN-CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-6314*,Algorithmic Economics*,"This course will survey the frontier of algorithmic economics: the study of incentives and strategic behavior through a computational lens. It will show how microeconomic theory applies to the design of algorithms, and conversely, how algorithmic thinking applies to economics. Other topics may include game theory, mechanism design / auction theory, forecasting mechanisms, and voting / social choice theory. *",3*,"(FA24) Student may be dropped from course for non-attendance. The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date.*",Restricted to graduate students only. Recommended: Prerequisite CSCI 5454.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective, ANO Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-6214*,Randomized Algorithms*,"Randomization is a powerful tool to design and analyze algorithms, and one that has played, and continues to play, a key role in the theory of algorithms and complexity. This course will give a technical foundation in common probabilistic tools to design and analyze algorithms, and use this foundation to cover several important randomized algorithms.*",3*,None available (FA24-FA26)*,Prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective, ANO Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-6114*,Computational Complexity Theory*,"Covers standard complexity classes including: time-bounded, space-bounded, nondeterministic, randomized, quantum, parallel, counting, and nonuniform classes. Covers standard relationships between these complexity classes, as well as landmark results in complexity theory. Additional topics may be covered depending on time and interest.*",3*,"(FA26) The waitlist for this class is automatically re-sequenced to allow first priority to CS PhD students and second priority to CS masters students. Until open enrollment date, registration is restricted to Computer Science graduate students only. Non-CS students can waitlist before that date. This class will be taught synchronously as a remote section, which means classes will be held virtually during the days and times listed. Student may be dropped from course for non-attendance.*",Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only. Recommended: Corequisite CSCI 5444.*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective, ANO Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Elective*",Not Available*,,,,,
CSCI-6414*,"Information Theory, Statistical Inference, and Experimental Design*","Introduces key concepts in information theory (entropy, compression, Shannon’s source coding theorem) and presents these as a foundation for Bayesian inference. Covers statistical modeling approaches and Markov Chain Monte Carlo techniques. Concludes with a unit on designing maximally informative scientific experiments. *",3*,None available (FA24-FA26)*,Restricted to graduate students only. Recommended: Prerequisite Calc 1 (MATH 1300 or APPM 1350 or similar); introductory probability (APPM 3570 or similar).*,"CSEN-PhD: Depth; CSEN-MS: Elective; CSEN-MSCPS: Elective, HCC Subplan; NTEN-MSNE: Elective ; AINT-MSAI: Depth*",Not Available*,,,,,
